年カテゴリ,年代,タイトル,説明,緯度,経度,画像
-3300,3300bc,中国文明,長江下流に稲作中心の良渚文化が成立、黄河文明、長江文明を合わせて中国文明としている。,30.4126,120.2854,none
-3000,3000bc,シュメール文明,シュメール人、都市国家を建設、ウル／ウルクなどでシュメール文化が成立。,30.9641,46.1042,none
-3000,3000bc,古代エジプト,ノモスが統合され、エジプト文明の形成。,30.0444,31.2357,none
-3000,3000bc,竜山文化,竜山文化　→　黒陶・灰陶,36.6222,117.0206,none
-3000,前3000年紀,エーゲ文明,この間、ギリシア人が南下する、エーゲ海域にエーゲ文明興る。,37.9908,23.7184,none
-2700,2650bc,古王国時代,エジプト古王国の時代となる、都メンフィス。,29.8712,31.2056,none
-2500,2530bc,ピラミッド造営,古王国のファラオ、クフ王らがピラミッドを造営。,29.9792,31.1342,none
-2000,2500～1500bc,インダス文明誕生,インダス川流域にインダス文明生まれる。,27.7213,68.8268,none
-2300,2300bc,インダス都市栄える,インダス文明、モエンジョ＝ダーロ、ハラッパーなどに都市文明栄える。,27.3283,68.1376,none
-2300,2300bc,サルゴン統一,アッカド人のサルゴン１世、メソポタミアを統一。,33.3128,44.3615,none
-2100,2100bc,ウル第３王朝,ウル第３王朝、シュメール法典が作られる。,30.9641,46.1042,none
-2000,2040bc,中王国都テーベ,エジプト中王国、都をテーベに遷す。,25.6872,32.6396,none
-2000,2000bc,ミノア文明誕生,クレタ島にミノア文明生まれる、クノッソス遺跡、エヴァンズが発掘。,35.2987,25.1596,none
-2000,2000bc,二里頭文化,中国の二里頭文化。,34.5339,112.32,none
-1900,1900bc,バビロン建国,アムル人、バビロン第一王朝を築く、都バビロン。,32.5364,44.4207,none
-1800,1800bc,インダス衰退,インダス文明の衰退始まる。,27.7213,68.8268,none
-1800,1800bc,アカイア人南下,ギリシア人の一派、アカイア人などが南下。,37.9908,23.7184,none
-1800,1792bc,ハンムラビ法典,ハンムラビ王即位、在位中にハンムラビ法典を整備。,32.5364,44.4207,none
-1700,1680bc,ヒッタイト建国,ヒッタイト、アナトリアに建国、鉄器を使用。,39.9208,32.8541,none
-1700,1650bc,ヒクソス侵入,エジプトに侵入したヒクソス、第１５王朝を建てる。,30.0444,31.2357,none
-1600,1600bc,ミケーネ文明,ギリシア本土にミケーネ文明興る、ミケーネ遺跡、シュリーマンが発掘、ミケーネ、ティリンス、ピュロスなどの都市が生まれる。,37.7244,22.7548,none
-1600,前16世紀,線文字B使用,ギリシアで線文字Ｂが使用され始める（前12世紀まで）、ヴェントリスが解読。,37.9908,23.7184,none
-1600,1595bc,ヒッタイト滅亡,ヒッタイトがバビロン第一王朝を滅ぼす。,32.5364,44.4207,none
-1600,前16世紀中,殷の興起,殷（商）興る、甲骨文字、青銅器の使用。,34.2748,117.1943,none
-1600,1550bc,カッシート王国,カッシート、メソポタミア南部に王国建設。,32.5364,44.4207,none
-1600,1542bc,新王国ヒクソス撃退,エジプト新王国、ヒクソスを撃退。,30.0444,31.2357,none
-1500,1500bc,ヴェーダ時代開始,アーリヤ人がカイバル峠を越えてパンジャーブに移動、先住民ドラヴィダ人を圧迫、ヴェーダ時代（『リグ＝ヴェーダ』で伝えられる時代）が始まる（～前600年頃まで）。,31.5497,74.3436,none
-1500,1486bc,トトメス３世遠征,エジプト新王国のトトメス３世、領土を西アジアに広げる。,30.0444,31.2357,none
-1400,1440bc,ミタンニ栄える,ミタンニ、メソポタミア北部で栄える。,36.3379,37.1212,none
-1400,1400bc,殷墟都とする,殷、殷墟を都とする。,35.0836,114.3765,none
-1400,1364bc,アマルナ革命,アメンホテプ４世、テル＝エル＝アマルナに遷都、アマルナ革命。,27.6469,30.8986,none
-1400,1346bc,ツタンカーメン即位,ツタンカーメン王が即位。,27.1764,31.1837,none
-1300,前13世紀,出エジプト,ヘブライ人（ユダヤ人）、モーセに率いられて出エジプトか。,29.5875,34.9338,none
-1300,前13世紀,トロイア戦争,トロイア戦争、トロイア遺跡。,39.9574,26.2384,none
-1300,1286bc,カデシュの戦い,エジプト新王国ラメセス２世、ヒッタイトとカデシュの戦い、最古の講和条約が成立。,34.5542,36.4922,none
-1200,1200bc,ガンジス進出,アーリヤ人がガンジス川流域に進出、都市国家を建設。,25.3176,82.9739,none
-1200,1200bc,アラム人定住,アラム人、シリアに定住、ダマスクス建設、アラム文字を使用。,33.5138,36.2765,none
-1200,1200bc,フェニキア都市建設,フェニキア人、シドン・ティルスなどの都市を建設。,33.5608,35.3756,none
-1200,1200bc,海の民侵攻,海の民、ギリシアに侵攻、エーゲ文明衰える。,37.9908,23.7184,none
-1200,1200bc,ヒッタイト滅亡,ヒッタイト、海の民の侵入によってこの頃滅亡。,39.9208,32.8541,none
-1200,1200bc,オルメカ文明誕生,北米大陸、メキシコ湾岸にオルメカ文明成立。,18.1212,-94.4212,none
-1000,1200-800bc,ギリシア暗黒時代,ギリシアの暗黒時代　→　鉄器の使用広がる。,37.9908,23.7184,none
-1200,前12世紀,カナーン人,ペリシテ人、パレスチナに入る　→　カナーン人。,31.7683,35.2137,none
-1200,1155bc,エラム人侵攻,イランのエラム人、カッシート王国を滅ぼす。,32.6806,48.8766,none
-1100,1100bc,ドーリア人定住,この頃までにドーリア人がギリシアに南下し定住。,37.9908,23.7184,none
-1100,1069bc,新王国滅亡,海の民の侵入によりエジプト新王国滅びる　→　エジプト末期王朝。,30.0444,31.2357,none
-1100,前11世紀,アルファベット実用化,この頃、フェニキア人、アルファベットを実用化する。,33.5608,35.3756,none
-1000,1024bc,殷滅び封建制,周、殷を倒す、易姓革命、都鎬京　→　封建制を採る。,34.2597,108.947,none
-1000,1003bc,ダヴィデ即位,ヘブライ王国、ダヴィデ王が即位。,31.7683,35.2137,none
-1000,1000bc,ガンジス都市建設,アーリア人、ガンジス川流域に進出。,25.3176,82.9739,none
-1000,1000bc,チャビン文化誕生,南米大陸アンデス山地にチャビン文化興る、アンデス文明の始まり。,-9.0596,-77.6421,none
-1000,997bc,ヘブライ都建設,ヘブライ王国、都イェルサレムを建設。,31.7683,35.2137,none
-1000,960bc,ソロモン王即位,ヘブライ王国、ソロモン王が王位を継承し栄華を極めたという。,31.7683,35.2137,none
-1000,922bc,イスラエル分裂,この頃、ヘブライ王国、イスラエル王国とユダ王国が分かれる。,31.7683,35.2137,none
-1000,900BC,アッシリア戦車活躍,メソポタミア北部でアッシリアが有力になる。戦車を使用。,36.3379,37.1212,none
-900,814BC,カルタゴ建設,フェニキア人の都市国家ティルスがカルタゴを建設。,36.834,10.24,none
-900,800BC,ヴァルナ制成立,インドでヴァルナ制が成立。→カースト制度。,20.5937,78.9629,none
-900,800BC,バラモン教深化,インドでバラモン教が深化。,20.5937,78.9629,none
-900,800BC,ポリス形成進む,ギリシアでポリスの形成進む。シノイキスモス進む。,37.9908,23.7184,none
-900,800BC,アテネ建設,イオニア人が都市国家アテネを建設。,37.9908,23.7184,none
-900,800BC,ホメロス叙事詩,ホメロスの『イリアス』・『オデュッセイア』が成立。,37.9908,23.7184,none
-800,776BC,古代五輪開催,最初の古代オリンピック開催。,37.6374,21.6265,none
-800,770BC,周東遷し春秋時代,この頃、周の東遷。洛邑に遷都（これ以降を東周）。春秋時代が始まる。,34.677,112.4688,none
-800,753BC,ローマ建国伝説,ロムルスによるローマの建国（伝承）。イタリア人・ラテン人。,41.9028,12.4964,none
-800,733BC,シラクサ建設,シチリア島にギリシア人殖民市シラクサ建設。,37.0852,15.2736,none
-800,732BC,ティグラト遠征,アッシリア帝国、ティグラト＝ピラセル３世、シリア・パレスティナに進出。,33.5138,36.2765,none
-800,729BC,アッシリア統一,アッシリア帝国、バビロンを征服し、メソポタミアを統一。,32.5364,44.4207,none
-800,722BC,『春秋』始まる,『春秋』 の記述、この年から始まる。,34.677,112.4688,none
-800,722BC,イスラエル滅亡,イスラエル王国、アッシリアに滅ぼされる。,31.7683,35.2137,none
-700,700BC,ヘシオドス著作,この頃、ヘシオドス、『労働と日々』などを著作。,37.9908,23.7184,none
-700,700BC,ギリシア植民活動,この頃、ギリシア人、植民活動盛んに行い、アルファベットの使用広がる。,37.9908,23.7184,none
-700,650BC,スパルタ軍国制,スパルタでリュクルゴスの制が形成され軍国主義がとられる。,37.0735,22.4298,none
-700,683BC,アテネ貴族政,アテネでアルコンの任期が一年となり貴族政（共和政）となる。,37.9908,23.7184,none
-700,679BC,斉の桓公覇者,斉の桓公、尊王攘夷を唱え、覇者となる。春秋の五覇。,36.6881,118.1009,none
-700,668BC,アッシュール即位,アッシリア帝国のアッシュール＝バニパル王が即位。都ニネヴェ。,36.3605,43.1621,none
-700,668BC,ビザンティオン建設,ギリシア人、植民都市ビザンティオンを建設。,41.0082,28.9784,none
-700,663BC,アッシリア統一帝国,アッシリア帝国がエジプトを征服。オリエントを統一。世界帝国の出現。,30.0444,31.2357,none
-700,637BC,宋襄王敗北,宋の襄王、覇を唱えるも楚と戦って敗れる。,33.7182,114.6402,none
-700,632BC,晋文公覇者,晋の文公、覇者となる。,37.8575,112.5585,none
-700,621BC,ドラコン立法,アテネでドラコンの立法。,37.9908,23.7184,none
-700,612BC,アッシリア滅亡,アッシリア帝国滅亡。メソポタミアに新バビロニア王国（都バビロン）、イラン高原にメディア王国（都エクバタナ）、小アジアにリディア王国（都サルデス）、エジプトは末期王朝。,32.5364,44.4207,none
-600,597BC,楚荘王中原進出,楚の荘王、中原に進出。,30.5461,114.3419,none
-600,594BC,ソロン改革開始,アテネでソロンの改革。財産政治。,37.9908,23.7184,none
-600,586BC,バビロン捕囚,ユダ王国、新バビロニアに滅ぼされる。バビロン捕囚。ユダヤ教が成立。,31.7683,35.2137,none
-600,563BC-483BC,仏教興る,この頃ガウタマ＝シッダールタ（463-363BC説も有力）、仏教を興す。,27.2046,77.4977,none
-600,559BC,キュロス即位,イラン人のアケメネス朝ペルシア、キュロス２世が即位。,32.4279,53.688,none
-600,552BC,孔子誕生,孔子、魯で生まれる（-479BC）。,35.7126,117.0021,none
-600,550BC,貨幣鋳造開始,リディア王国で貨幣の鋳造が始まる。,38.4735,28.0474,none
-600,538BC,新バビロニア滅亡,アケメネス朝、新バビロニアを滅ぼす。キュロス２世、ユダヤ人をバビロン捕囚から解放。,32.5364,44.4207,none
-600,525BC,エジプト征服,アケメネス朝ペルシアのカンビュセス２世、エジプトを征服。オリエントを統一。,30.0444,31.2357,none
-600,509BC,ローマ貴族共和政,ローマでエトルリア人の王を追放し、貴族共和政となる。コンスルが置かれる。,41.9028,12.4964,none
-500,494BC,呉越戦争,呉王夫差、越王勾践を破る。ローマで聖山事件が起こる。平民会と護民官を設置。,31.6142,120.7326,none
-500,490BC,ペルシア戦争開始,第２回ペルシア戦争。マラトンの戦いでペルシア軍敗れる。,38.1422,24.0054,none
-500,480BC,墨子誕生,この頃中国の魯国に墨子が生まれる。,35.7126,117.0021,none
-500,480BC,テルモピュライの戦い,8月テルモピュライの戦いでスパルタ軍全滅。レオニダス戦死。,38.8003,22.5333,none
-500,480BC,サラミス海戦,9月サラミスの海戦で三段櫂船主力のアテネ海軍が勝利。テミストクレスの活躍。,37.9908,23.7184,none
-500,479BC,孔子没す,孔子没す。,35.7126,117.0021,none
-500,478BC,デロス同盟結成,アテネ中心の諸ポリス、デロス同盟結成。,37.9908,23.7184,none
-500,450BC,十二表法成立,ローマで十二表法制定される。共和政の形成進む。,41.9028,12.4964,none
-500,443BC,ペリクレス全盛期,アテネ、ペリクレス時代。民主政の全盛期となる。,37.9908,23.7184,none
-500,431BC-404BC,ペロポネソス戦争,ペロポネソス戦争始まる。ペロポネソス同盟成立。,37.9908,23.7184,none
-400,399BC,ソクラテス死刑,ソクラテス、裁判で死刑となる。,37.9908,23.7184,none
-400,387BC,プラトン、アカデメイア開設,プラトンがアテネにアカデメイアを開設。,37.9908,23.7184,none
-400,372BC,孟子誕生,孟子が生まれる。,35.7126,117.0021,none
-400,371BC,テーベ覇権、エパミノンダス活躍,テーベ、スパルタを破り、ギリシアの覇権を握る。エパミノンダス活躍。,38.3269,23.7651,none
-400,338BC,カイロネイアの戦い,マケドニアのフィリッポス２世、カイロネイアの戦いでアテネ・テーベ連合軍を破る。,38.4378,23.0732,none
-400,337BC,コリントス同盟成立,マケドニアがギリシアの諸ポリスとコリントス同盟を結成。,40.6401,22.9444,none
-400,334BC 5,アレクサンドロス東方遠征,アレクサンドロス、東方遠征を開始。,40.6401,22.9444,none
-400,334BC,グラニコス河の戦い,アレクサンドロス、小アジアでグラニコス河の戦い。,39.6339,27.9235,none
-400,331BC,アレクサンドリア建設,アレクサンドロス大王、エジプトにアレクサンドリアを建設。,31.2001,29.9187,none
-400,323BC-276BC,ディアドコイ戦争開始,ディアドコイ戦争始まる。ヘレニズム三国が分立。,40.6401,22.9444,none
-300,300BC,アンティオキア建設,セレウコス朝シリア、都アンティオキアを建設。,36.2021,37.1342,none
-300,289BC*,孟子死去、荀子誕生,孟子が死去。荀子が生まれる。,34.2167,117.1415,none
-300,287BC,ホルテンシウス法成立,ローマでホルテンシウス法が制定された。,41.9028,12.4964,none
-300,272BC,ローマ半島統一,タレントゥムが降り、ローマの半島統一終わる。,40.4779,17.2297,none
-300,268BC,アショーカ即位,マウリヤ朝アショーカ王が即位。～232BC*　→　仏典結集など、仏教保護。,25.6093,85.1238,none
-300,264BC,第１回ポエニ戦争,ローマとカルタゴのポエニ戦争始まる。（第１回～241BC）,41.9028,12.4964,none
-300,240BC*,仏教スリランカ伝来,マウリヤ朝アショーカ王の時、スリランカに仏教が伝えられる。,7.8731,80.7718,none
-300,227BC,ローマ、シチリア属州化,ローマ、シチリアを最初の属州とする。,37.5999,14.0154,none
-300,206BC,秦滅亡、漢建国,秦が滅亡。項羽は楚王、劉邦は漢王となる。,34.3291,108.7086,none
-300,202BC,垓下の戦い,垓下の戦いで劉邦が項羽を破る。劉邦が皇帝となり、漢の高祖。郡国制をしく。,34.3416,108.9398,none
-200,200BC 2,漢、長安に都移す,漢、都を長安に移す。,34.3416,108.9398,none
-200,200BC,冒頓単于、漢軍撃破,匈奴を率いた冒頓単于、漢の高祖の軍を破る。,43.8333,113.5,none
-200,196BC,ロゼッタ石作成,エジプトでロゼッタ＝ストーン作成される。神聖文字（ヒエログリフ）,31.2001,29.9187,none
-200,190BC,漢、都長安完成,漢の都長安が完成する。,34.3404,108.9402,none
-200,171BC,パルティア全盛期,パルティア、ミトラダテス１世即位。全盛期となる。,38.4109,46.2947,none
-200,168BC,マケドニア滅亡,ピュドナの戦い敗れたマケドニア王国が滅亡。後にローマの属州とされる。,40.9789,22.5553,none
-200,166BC,マカベア戦争開始,ユダヤ人、セレウコス朝からの自立を求めマカベア戦争を戦う。,31.7683,35.2137,none
-200,149BC,第３回ポエニ戦争,第３回ポエニ戦争（～146BC）。スキピオ（小）率いるローマ軍は、カルタゴを破壊、属州アフリカとする。コリントを征服。属州マケドニア設置。,36.8619,-4.3036,none
-200,142BC,カルタゴ破壊,パレスチナにユダヤ人国家ハスモン朝が自立。,31.9309,35.0956,none
-200,136BC,五経博士設置,漢の武帝が五経博士を置く。,39.9042,116.4074,none
-100,前1世紀,ローマ内乱時代,ローマ、内乱の１世紀となる。無産市民のパンと見せ物の要求強まる。,41.9028,12.4964,none
-100,99BC,李陵が捕虜に,将軍李陵、匈奴に捕らえられる。,39.9042,116.4074,none
-100,91BC,『史記』完成,司馬遷が『史記』を完成させる。,39.9042,116.4074,none
-100,82BC,スラ独裁開始,ローマでスラが独裁官となる。,41.9028,12.4964,none
-100,73BC-71BC,スパルタクス反乱,スパルタクスの反乱起きる。剣闘士奴隷の反抗、全ローマの奴隷反乱に広がる。,41.9028,12.4964,none
-100,60BC-49BC,第1三頭政治,第１回三頭政治。ポンペイウス、クラッスス、カエサル。,41.9028,12.4964,none
-100,58BC-51BC,カエサル遠征開始,カエサル、ガリア遠征に出発。『ガリア戦記』,41.9028,12.4964,none
-100,49BC,ルビコン越え,カエサル、ルビコンを渡り、ローマに進軍。,41.9028,12.4964,none
-100,44BC,カエサル暗殺,カエサル、終身の独裁官となるも、ブルートゥスらによって暗殺される。,41.9028,12.4964,none
-100,31BC,アクティウム海戦,アクティウムの海戦で、オクタウィアヌスがアントニウスとクレオパトラの連合軍を破る。,41.9028,12.4964,none
-100,30BC,エジプト滅亡,プトレマイオス朝エジプトの滅亡。ローマの地中海世界支配。,29.9244,31.2001,none
-100,7BC,イエス誕生説,イエスが生まれる。（諸説あり）,31.7683,35.2137,none
-100,前1世紀,アクスム王国成立,この頃までにエチオピアにアクスム王国が成立。,15.3218,38.7269,none
-100,前1世紀,扶南成立始まる,末頃、インドシナ半島南部に扶南成立。東南アジアのインド化始まる。,10.7264,104.9225,none
100,14,アウグストゥス死去,アウグストゥス死去。ティベリウスが二代皇帝に。,41.9028,12.4964,none
100,25,光武帝、後漢建国,劉秀が即位して光武帝となり後漢を建てる。都洛陽,34.6833,112.4333,none
100,57,奴国王、金印授かる,倭人の奴国王、後漢の光武帝に遣使。金印を授かる。,35.6895,139.6917,none
100,1世紀中頃,クシャーナ朝成立,北インドにクシャーナ朝が成立。都プルシャプラ。,34.0333,73.0333,none
100,66,ユダヤ戦争開始,ユダヤ戦争始まる（～74）。ユダヤ人の離散始まる。,31.7683,35.2137,none
100,73,班超、西域遠征,後漢の班超が西域に遠征。,35.8625,104.1954,none
100,96-180,五賢帝時代,ローマ帝国、五賢帝の時代。,41.9028,12.4964,none
100,1世紀,東南アジア交易,この頃東南アジア、ローマと交易。扶南のオケオ遺跡,13.4085,103.8176,none
100,1世紀,大乗仏教起こる,インドで大乗仏教が起こる。仏像が作られるようになる。,20.5937,78.9629,none
200,101,トラヤヌス遠征,トラヤヌス、ダキア遠征を開始（～106）。属州とする。,45.9432,24.9668,none
200,105,蔡倫、紙を作る,後漢の蔡倫が紙を作ったとされる（後漢書）。,34.6833,112.4333,none
200,106-130,サータヴァーハナ朝繁栄,デカン高原のサータヴァーハナ朝、都プラティシュターナ。クシャーナ朝と対抗。,18.5204,73.8567,none
200,117,ハドリアヌス即位,ローマ帝国、ハドリアヌス帝が即位（～138）。,41.9028,12.4964,none
200,121,『説文解字』完成,中国最古の字典『説文解字』、この頃完成。,34.6833,112.4333,none
200,130-170,カニシカ王全盛,北西インドのクシャーナ朝、カニシカ王の許で全盛期に。,34,73,none
200,131-135,第２次ユダヤ戦争,ハドリアヌス、第２次ユダヤ戦争。,51.5074,-0.1278,none
200,138,アントニヌス即位,ローマ、アントニヌス＝ピウス帝（～161）。,41.9028,12.4964,none
200,161,アウレリウス即位,マルクス＝アウレリウス＝アントニヌスが即位（～180）。『自省録』を著す。,41.9028,12.4964,none
200,184,黄巾の乱勃発,後漢で黄巾の乱起こる。,34.6833,112.4333,none
200,200,『マヌ法典』成立,この頃までにインドで『マヌ法典』が作られる。,20.5937,78.9629,none
300,209,高句麗建国へ,高句麗、丸都城を築く（実質的な建国）。,41.744,126.438,none
300,212,アントニヌス勅令,カラカラ帝、アントニヌス勅令を制定。万民法,41.9028,12.4964,none
300,216,曹操、魏王就任,曹操、魏王となる。,34.7986,113.6496,none
300,216,ローマ浴場建設,カラカラ帝、ローマに大公共浴場を建設。,41.884,12.503,none
300,220,後漢滅亡,後漢の滅亡。献帝から禅譲を受け曹丕（文帝）即位。魏の建国。九品中正制を実施。三国時代始まる,34,112,none
300,226,ササン朝建国,アルデシール１世、ササン朝ペルシアを建国。ゾロアスター教を国教とする。,29.61,52.531,none
300,229,孫権、皇帝即位,呉王孫権が帝を称し、建業で即位。,32.0603,118.7969,none
300,249,司馬懿台頭,司馬懿、魏の実権を握る。このころから竹林の七賢の活動始まる。,30,120,none
300,265,晋の成立,司馬炎が、魏の帝位を奪い晋を建てる（武帝）。,34.7986,113.6496,none
300,280,晋、中国統一,晋が呉を滅ぼし、中国を統一。,32.0603,118.7969,none
400,301,アルメニア教会国教,アルメニア、単性説のアルメニア教会を国教とする。,40.0691,45.0382,none
400,304,匈奴、前趙を建国,匈奴の劉淵が漢（前趙）を建国。五胡十六国時代始まる。,39.8255,101.9818,none
400,312,コンスタンティヌス凱旋,コンスタンティヌス、ローマに入城。凱旋門建設。,41.9028,12.4964,none
400,313,楽浪郡滅亡,高句麗が楽浪郡を滅ぼす。,40.1417,124.2578,none
400,316,晋、西晋滅亡,晋（西晋）が匈奴の族長劉曜に降伏し、滅亡。,34.7466,112.4311,none
400,320,グプタ朝成立,チャンドラグプタ１世、グプタ朝を創始。インドのグプタ紀元始まる。,25.5941,85.1376,none
400,330,遷都コンスタンティノープル,ローマ帝国、コンスタンティノポリスに遷都。,41.0082,28.9784,none
400,351,前秦、長安に建国,?の苻健、長安で前秦を建国。,34.7466,112.4311,none
400,380,キリスト教国教化,テオドシウス帝、キリスト教の国教化を定める。,41.9028,12.4964,none
500,400,アウグスティヌス『告白』著す,アウグスティヌス、『告白』を著す。,41.9028,12.4964,none
500,401,鳩摩羅什、長安で経典翻訳,インド僧鳩摩羅什、長安に入る。,34.7466,112.4311,none
500,409,西ローマ帝国、ブリテン放棄、ローマの支配は終結,西ローマ帝国、ブリテン島を放棄。,50.7574,-3.5123,none
500,418,西ゴート王国、トロサ建国,西ゴート人、西ゴート王国を建国。都トロサ。,40.6371,-3.7415,none
500,420,中国、南北朝時代始まる,中国、南北朝時代となる。,32.0617,118.7778,none
500,430,ヴァンダル人、アフリカ進出,ヴァンダル人のガイセリック、アフリカに入りヒッポでローマ軍を破る。,37.5377,-0.0834,none
500,431,エフェソス公会議、ネストリウス派異端,東ローマ皇帝が召集したエフェソス公会議でネストリウス派を異端とする。,41.0082,28.9784,none
500,442,北魏、道教を国教化,北魏の太武帝、寇謙之の説く新天師道を信じ、道教を国教とする。,37.5651,105.4543,none
500,451,カルケドン公会議、単性説異端,カルケドン公会議、単性説を異端とする。,41.0082,28.9784,none
500,475,西ゴート、スペイン領有,西ゴート人のスペイン領有、ブルグンド人などのガリア分割。,40.4637,-3.7492,none
500,476,西ローマ、オドアケルに滅ぶ,オドアケルによって西ローマ帝国滅ぼされる。,41.9028,12.4964,none

